cod,nome,período,valor,regiao
51,MT,2020,987,Centro-Oeste
41,PR,2020,2281,Sul
35,SP,2020,3396,Sudeste
17,TO,2020,484,Norte
52,GO,2021,1812,Centro-Oeste
32,ES,2021,1253,Sudeste
33,RJ,2021,4693,Sudeste
31,MG,2021,2577,Sudeste
51,MT,2021,888,Centro-Oeste
24,RN,2021,1179,Nordeste
27,AL,2021,1070,Nordeste
22,PI,2021,766,Nordeste
42,SC,2021,712,Sul
21,MA,2021,1999,Nordeste
53,DF,2021,401,Centro-Oeste
26,PE,2021,3439,Nordeste
35,SP,2021,3094,Sudeste
25,PB,2021,1144,Nordeste
28,SE,2021,790,Nordeste
23,CE,2021,3471,Nordeste
15,PA,2021,2847,Norte
16,AP,2021,462,Norte
11,RO,2021,536,Norte
17,TO,2021,441,Norte
13,AM,2021,1816,Norte
29,BA,2021,7206,Nordeste
14,RR,2021,258,Norte
41,PR,2021,2348,Sul
50,MS,2021,551,Centro-Oeste
43,RS,2021,1889,Sul
12,AC,2021,205,Norte
14,RR,2022,231,Norte
41,PR,2022,2600,Sul
51,MT,2022,1077,Centro-Oeste
33,RJ,2022,3762,Sudeste
23,CE,2022,3030,Nordeste
53,DF,2022,357,Centro-Oeste
35,SP,2022,3212,Sudeste
52,GO,2022,1687,Centro-Oeste
50,MS,2022,550,Centro-Oeste
16,AP,2022,358,Norte
11,RO,2022,601,Norte
42,SC,2022,671,Sul
12,AC,2022,238,Norte
31,MG,2022,2699,Sudeste
43,RS,2022,1964,Sul
32,ES,2022,1147,Sudeste
13,AM,2022,1771,Norte
29,BA,2022,6776,Nordeste
17,TO,2022,454,Norte
28,SE,2022,770,Nordeste
22,PI,2022,794,Nordeste
27,AL,2022,1136,Nordeste
21,MA,2022,1942,Nordeste
25,PB,2022,1105,Nordeste
26,PE,2022,3409,Nordeste
15,PA,2022,2901,Norte
24,RN,2022,1167,Nordeste
32,ES,2023,1161,Sudeste
42,SC,2023,658,Sul
53,DF,2023,348,Centro-Oeste
14,RR,2023,219,Norte
33,RJ,2023,4291,Sudeste
41,PR,2023,2215,Sul
17,TO,2023,419,Norte
43,RS,2023,1981,Sul
23,CE,2023,2992,Nordeste
31,MG,2023,2795,Sudeste
12,AC,2023,217,Norte
21,MA,2023,2007,Nordeste
29,BA,2023,6615,Nordeste
15,PA,2023,2542,Norte
25,PB,2023,1079,Nordeste
52,GO,2023,1583,Centro-Oeste
27,AL,2023,1194,Nordeste
13,AM,2023,1555,Norte
16,AP,2023,516,Norte
11,RO,2023,552,Norte
28,SE,2023,698,Nordeste
50,MS,2023,584,Centro-Oeste
22,PI,2023,725,Nordeste
26,PE,2023,3698,Nordeste
24,RN,2023,955,Nordeste
51,MT,2023,1105,Centro-Oeste
35,SP,2023,3043,Sudeste
