cod,nome,período,valor,regiao
41,PR,1996,1379,Sul
16,AP,1996,157,Norte
24,RN,1996,241,Nordeste
31,MG,1996,1261,Sudeste
29,BA,1996,1883,Nordeste
17,TO,1996,126,Norte
53,DF,1996,615,Centro-Oeste
28,SE,1996,238,Nordeste
13,AM,1996,450,Norte
35,SP,1996,12320,Sudeste
23,CE,1996,885,Nordeste
14,RR,1996,107,Norte
27,AL,1996,741,Nordeste
11,RO,1996,301,Norte
22,PI,1996,117,Nordeste
12,AC,1996,104,Norte
25,PB,1996,636,Nordeste
42,SC,1996,412,Sul
53,DF,1997,613,Centro-Oeste
52,GO,1997,744,Centro-Oeste
32,ES,1997,1416,Sudeste
15,PA,1997,754,Norte
25,PB,1997,492,Nordeste
11,RO,1997,355,Norte
22,PI,1997,142,Nordeste
51,MT,1997,766,Centro-Oeste
43,RS,1997,1648,Sul
31,MG,1997,1347,Sudeste
41,PR,1997,1581,Sul
50,MS,1997,729,Centro-Oeste
24,RN,1997,235,Nordeste
12,AC,1997,100,Norte
16,AP,1997,140,Norte
14,RR,1997,90,Norte
33,RJ,1997,7954,Sudeste
28,SE,1997,190,Nordeste
21,MA,1997,333,Nordeste
13,AM,1997,468,Norte
23,CE,1997,1026,Nordeste
35,SP,1997,12537,Sudeste
17,TO,1997,112,Norte
29,BA,1997,1981,Nordeste
26,PE,1997,3713,Nordeste
42,SC,1997,423,Sul
27,AL,1997,642,Nordeste
21,MA,1998,278,Nordeste
28,SE,1998,175,Nordeste
42,SC,1998,414,Sul
53,DF,1998,633,Centro-Oeste
24,RN,1998,222,Nordeste
26,PE,1998,4423,Nordeste
23,CE,1998,946,Nordeste
52,GO,1998,704,Centro-Oeste
25,PB,1998,455,Nordeste
12,AC,1998,110,Norte
11,RO,1998,494,Norte
51,MT,1998,832,Centro-Oeste
13,AM,1998,534,Norte
22,PI,1998,140,Nordeste
50,MS,1998,670,Centro-Oeste
14,RR,1998,134,Norte
43,RS,1998,1524,Sul
15,PA,1998,774,Norte
16,AP,1998,160,Norte
17,TO,1998,129,Norte
32,ES,1998,1675,Sudeste
31,MG,1998,1511,Sudeste
33,RJ,1998,7573,Sudeste
29,BA,1998,1271,Nordeste
35,SP,1998,13986,Sudeste
27,AL,1998,582,Nordeste
41,PR,1998,1625,Sul
51,MT,1999,822,Centro-Oeste
16,AP,1999,192,Norte
14,RR,1999,154,Norte
12,AC,1999,51,Norte
50,MS,1999,571,Centro-Oeste
35,SP,1999,15763,Sudeste
33,RJ,1999,7261,Sudeste
29,BA,1999,913,Nordeste
42,SC,1999,385,Sul
27,AL,1999,554,Nordeste
26,PE,1999,4217,Nordeste
23,CE,1999,1104,Nordeste
15,PA,1999,642,Norte
25,PB,1999,403,Nordeste
52,GO,1999,853,Centro-Oeste
43,RS,1999,1533,Sul
22,PI,1999,133,Nordeste
24,RN,1999,224,Nordeste
53,DF,1999,659,Centro-Oeste
17,TO,1999,137,Norte
41,PR,1999,1706,Sul
32,ES,1999,1524,Sudeste
31,MG,1999,1596,Sudeste
13,AM,1999,527,Norte
11,RO,1999,432,Norte
21,MA,1999,262,Nordeste
28,SE,1999,329,Nordeste
35,SP,2000,15591,Sudeste
33,RJ,2000,7350,Sudeste
17,TO,2000,176,Norte
32,ES,2000,1435,Sudeste
16,AP,2000,156,Norte
15,PA,2000,806,Norte
43,RS,2000,1668,Sul
11,RO,2000,466,Norte
14,RR,2000,130,Norte
29,BA,2000,1242,Nordeste
27,AL,2000,727,Nordeste
50,MS,2000,651,Centro-Oeste
22,PI,2000,230,Nordeste
13,AM,2000,552,Norte
12,AC,2000,106,Norte
51,MT,2000,990,Centro-Oeste
23,CE,2000,1238,Nordeste
42,SC,2000,433,Sul
53,DF,2000,687,Centro-Oeste
26,PE,2000,4290,Nordeste
25,PB,2000,507,Nordeste
52,GO,2000,1085,Centro-Oeste
24,RN,2000,257,Nordeste
28,SE,2000,410,Nordeste
41,PR,2000,1789,Sul
31,MG,2000,2109,Sudeste
21,MA,2000,352,Nordeste
35,SP,2001,15773,Sudeste
23,CE,2001,1284,Nordeste
11,RO,2001,573,Norte
53,DF,2001,693,Centro-Oeste
24,RN,2001,322,Nordeste
52,GO,2001,1167,Centro-Oeste
25,PB,2001,484,Nordeste
51,MT,2001,973,Centro-Oeste
12,AC,2001,121,Norte
13,AM,2001,485,Norte
50,MS,2001,621,Centro-Oeste
14,RR,2001,108,Norte
43,RS,2001,1854,Sul
15,PA,2001,966,Norte
16,AP,2001,182,Norte
32,ES,2001,1452,Sudeste
17,TO,2001,212,Norte
21,MA,2001,563,Nordeste
31,MG,2001,2366,Sudeste
33,RJ,2001,7362,Sudeste
29,BA,2001,1622,Nordeste
28,SE,2001,518,Nordeste
41,PR,2001,2052,Sul
42,SC,2001,477,Sul
27,AL,2001,830,Nordeste
22,PI,2001,262,Nordeste
26,PE,2001,4710,Nordeste
23,CE,2002,1445,Nordeste
21,MA,2002,606,Nordeste
27,AL,2002,991,Nordeste
11,RO,2002,615,Norte
35,SP,2002,14526,Sudeste
29,BA,2002,1759,Nordeste
33,RJ,2002,8335,Sudeste
31,MG,2002,2994,Sudeste
17,TO,2002,170,Norte
32,ES,2002,1644,Sudeste
16,AP,2002,181,Norte
15,PA,2002,1192,Norte
43,RS,2002,1912,Sul
14,RR,2002,122,Norte
50,MS,2002,684,Centro-Oeste
22,PI,2002,308,Nordeste
13,AM,2002,513,Norte
12,AC,2002,151,Norte
51,MT,2002,948,Centro-Oeste
26,PE,2002,4396,Nordeste
42,SC,2002,585,Sul
25,PB,2002,607,Nordeste
52,GO,2002,1370,Centro-Oeste
24,RN,2002,299,Nordeste
53,DF,2002,641,Centro-Oeste
41,PR,2002,2266,Sul
28,SE,2002,556,Nordeste
24,RN,2003,405,Nordeste
42,SC,2003,670,Sul
41,PR,2003,2555,Sul
21,MA,2003,795,Nordeste
27,AL,2003,1039,Nordeste
50,MS,2003,705,Centro-Oeste
13,AM,2003,558,Norte
28,SE,2003,469,Nordeste
35,SP,2003,14048,Sudeste
23,CE,2003,1563,Nordeste
25,PB,2003,616,Nordeste
29,BA,2003,2166,Nordeste
33,RJ,2003,8115,Sudeste
22,PI,2003,298,Nordeste
11,RO,2003,566,Norte
31,MG,2003,3869,Sudeste
17,TO,2003,204,Norte
12,AC,2003,147,Norte
53,DF,2003,742,Centro-Oeste
32,ES,2003,1629,Sudeste
16,AP,2003,185,Norte
52,GO,2003,1346,Centro-Oeste
15,PA,2003,1405,Norte
51,MT,2003,908,Centro-Oeste
26,PE,2003,4517,Nordeste
43,RS,2003,1908,Sul
14,RR,2003,106,Norte
27,AL,2004,1035,Nordeste
53,DF,2004,696,Centro-Oeste
52,GO,2004,1524,Centro-Oeste
51,MT,2004,853,Centro-Oeste
50,MS,2004,656,Centro-Oeste
43,RS,2004,1982,Sul
32,ES,2004,1619,Sudeste
31,MG,2004,4286,Sudeste
29,BA,2004,2262,Nordeste
28,SE,2004,454,Nordeste
26,PE,2004,4174,Nordeste
23,CE,2004,1582,Nordeste
22,PI,2004,327,Nordeste
21,MA,2004,732,Nordeste
42,SC,2004,638,Sul
41,PR,2004,2826,Sul
35,SP,2004,11336,Sudeste
33,RJ,2004,7731,Sudeste
17,TO,2004,198,Norte
16,AP,2004,172,Norte
15,PA,2004,1519,Norte
14,RR,2004,85,Norte
13,AM,2004,526,Norte
12,AC,2004,114,Norte
25,PB,2004,675,Nordeste
24,RN,2004,344,Nordeste
11,RO,2004,563,Norte
21,MA,2005,935,Nordeste
25,PB,2005,745,Nordeste
43,RS,2005,2021,Sul
31,MG,2005,4223,Sudeste
15,PA,2005,1926,Norte
24,RN,2005,406,Nordeste
23,CE,2005,1699,Nordeste
53,DF,2005,657,Centro-Oeste
52,GO,2005,1468,Centro-Oeste
29,BA,2005,2881,Nordeste
14,RR,2005,95,Norte
32,ES,2005,1602,Sudeste
13,AM,2005,599,Norte
28,SE,2005,487,Nordeste
17,TO,2005,190,Norte
50,MS,2005,631,Centro-Oeste
41,PR,2005,2977,Sul
33,RJ,2005,7408,Sudeste
16,AP,2005,196,Norte
12,AC,2005,124,Norte
51,MT,2005,907,Centro-Oeste
11,RO,2005,555,Norte
26,PE,2005,4330,Nordeste
42,SC,2005,633,Sul
27,AL,2005,1203,Nordeste
35,SP,2005,8870,Sudeste
22,PI,2005,368,Nordeste
35,SP,2006,8377,Sudeste
42,SC,2006,666,Sul
43,RS,2006,1983,Sul
15,PA,2006,2073,Norte
29,BA,2006,3311,Nordeste
22,PI,2006,418,Nordeste
17,TO,2006,229,Norte
23,CE,2006,1792,Nordeste
53,DF,2006,660,Centro-Oeste
52,GO,2006,1509,Centro-Oeste
24,RN,2006,455,Nordeste
25,PB,2006,825,Nordeste
32,ES,2006,1762,Sudeste
21,MA,2006,969,Nordeste
27,AL,2006,1620,Nordeste
51,MT,2006,896,Centro-Oeste
12,AC,2006,158,Norte
11,RO,2006,585,Norte
16,AP,2006,202,Norte
26,PE,2006,4472,Nordeste
41,PR,2006,3098,Sul
33,RJ,2006,7389,Sudeste
50,MS,2006,683,Centro-Oeste
28,SE,2006,585,Nordeste
13,AM,2006,699,Norte
14,RR,2006,111,Norte
31,MG,2006,4177,Sudeste
23,CE,2007,1933,Nordeste
21,MA,2007,1127,Nordeste
31,MG,2007,4125,Sudeste
25,PB,2007,864,Nordeste
22,PI,2007,383,Nordeste
27,AL,2007,1836,Nordeste
16,AP,2007,172,Norte
51,MT,2007,889,Centro-Oeste
43,RS,2007,2199,Sul
35,SP,2007,6437,Sudeste
12,AC,2007,137,Norte
14,RR,2007,116,Norte
11,RO,2007,432,Norte
15,PA,2007,2194,Norte
41,PR,2007,3105,Sul
50,MS,2007,710,Centro-Oeste
42,SC,2007,632,Sul
28,SE,2007,522,Nordeste
33,RJ,2007,6551,Sudeste
26,PE,2007,4557,Nordeste
13,AM,2007,715,Norte
17,TO,2007,226,Norte
52,GO,2007,1521,Centro-Oeste
32,ES,2007,1877,Sudeste
53,DF,2007,711,Centro-Oeste
29,BA,2007,3659,Nordeste
24,RN,2007,589,Nordeste
28,SE,2008,555,Nordeste
15,PA,2008,2860,Norte
41,PR,2008,3445,Sul
12,AC,2008,133,Norte
21,MA,2008,1277,Nordeste
43,RS,2008,2380,Sul
23,CE,2008,2019,Nordeste
53,DF,2008,812,Centro-Oeste
32,ES,2008,1947,Sudeste
24,RN,2008,714,Nordeste
50,MS,2008,699,Centro-Oeste
22,PI,2008,361,Nordeste
26,PE,2008,4446,Nordeste
52,GO,2008,1792,Centro-Oeste
29,BA,2008,4819,Nordeste
27,AL,2008,1887,Nordeste
14,RR,2008,105,Norte
31,MG,2008,3889,Sudeste
16,AP,2008,210,Norte
11,RO,2008,480,Norte
25,PB,2008,1029,Nordeste
33,RJ,2008,5662,Sudeste
42,SC,2008,802,Sul
35,SP,2008,6332,Sudeste
51,MT,2008,937,Centro-Oeste
17,TO,2008,237,Norte
13,AM,2008,830,Norte
11,RO,2009,538,Norte
15,PA,2009,2989,Norte
52,GO,2009,1902,Centro-Oeste
12,AC,2009,153,Norte
32,ES,2009,1985,Sudeste
50,MS,2009,725,Centro-Oeste
14,RR,2009,118,Norte
13,AM,2009,916,Norte
41,PR,2009,3698,Sul
17,TO,2009,289,Norte
23,CE,2009,2165,Nordeste
